OBJECTID,GEOID,Name,Population,AggregateIncome,PCIAdjusted,ACSVintage,Jurisdiction,CRA_ID,CRAGroup,CRAName,CRANeighborhoods,TractLabel
396,53033030501,"Census Tract 305.01, King County, Washington",2184,69944500,32026,5Y20,King County Balance,,,,,305.01
397,53033030503,"Census Tract 305.03, King County, Washington",5101,142830100,28000,5Y20,King County Balance,,,,,305.03
398,53033030504,"Census Tract 305.04, King County, Washington",4845,168235600,34724,5Y20,King County Balance,,,,,305.04
399,53033030600,"Census Tract 306, King County, Washington",5951,178684600,30026,5Y20,King County Balance,,,,,306
400,53033030700,"Census Tract 307, King County, Washington",4162,124130500,29825,5Y20,King County Balance,,,,,307
401,53033030801,"Census Tract 308.01, King County, Washington",6749,135849400,20129,5Y20,King County Balance,,,,,308.01
402,53033030802,"Census Tract 308.02, King County, Washington",3530,92811500,26292,5Y20,King County Balance,,,,,308.02
403,53033030901,"Census Tract 309.01, King County, Washington",3959,104340100,26355,5Y20,King County Balance,,,,,309.01
404,53033030902,"Census Tract 309.02, King County, Washington",6128,159628500,26049,5Y20,King County Balance,,,,,309.02
405,53033031000,"Census Tract 310, King County, Washington",4300,238832900,55543,5Y20,King County Balance,,,,,310
406,53033031101,"Census Tract 311.01, King County, Washington",4488,124976800,27847,5Y20,King County Balance,,,,,311.01
407,53033031102,"Census Tract 311.02, King County, Washington",3078,102824200,33406,5Y20,King County Balance,,,,,311.02
408,53033031202,"Census Tract 312.02, King County, Washington",6626,259168000,39114,5Y20,King County Balance,,,,,312.02
409,53033031204,"Census Tract 312.04, King County, Washington",6211,296570000,47749,5Y20,King County Balance,,,,,312.04
410,53033031206,"Census Tract 312.06, King County, Washington",5630,182007800,32328,5Y20,King County Balance,,,,,312.06
411,53033031207,"Census Tract 312.07, King County, Washington",4153,129730700,31238,5Y20,King County Balance,,,,,312.07
412,53033031208,"Census Tract 312.08, King County, Washington",4570,140586900,30763,5Y20,King County Balance,,,,,312.08
413,53033031301,"Census Tract 313.01, King County, Washington",2189,92412100,42217,5Y20,King County Balance,,,,,313.01
414,53033031302,"Census Tract 313.02, King County, Washington",4485,150422800,33539,5Y20,King County Balance,,,,,313.02
415,53033031400,"Census Tract 314, King County, Washington",6128,286292800,46719,5Y20,King County Balance,,,,,314
416,53033031501,"Census Tract 315.01, King County, Washington",3967,178554200,45010,5Y20,King County Balance,,,,,315.01
417,53033031502,"Census Tract 315.02, King County, Washington",4740,226594300,47805,5Y20,King County Balance,,,,,315.02
418,53033031601,"Census Tract 316.01, King County, Washington",5551,288599600,51991,5Y20,King County Balance,,,,,316.01
419,53033031603,"Census Tract 316.03, King County, Washington",6967,322006800,46219,5Y20,King County Balance,,,,,316.03
420,53033031604,"Census Tract 316.04, King County, Washington",5641,213073900,37772,5Y20,King County Balance,,,,,316.04
421,53033031605,"Census Tract 316.05, King County, Washington",4767,232100100,48689,5Y20,King County Balance,,,,,316.05
422,53033031704,"Census Tract 317.04, King County, Washington",6528,227159700,34798,5Y20,King County Balance,,,,,317.04
423,53033031705,"Census Tract 317.05, King County, Washington",4137,183842300,44439,5Y20,King County Balance,,,,,317.05
424,53033031707,"Census Tract 317.07, King County, Washington",2612,181308400,69414,5Y20,King County Balance,,,,,317.07
425,53033031708,"Census Tract 317.08, King County, Washington",4126,146905700,35605,5Y20,King County Balance,,,,,317.08
426,53033031709,"Census Tract 317.09, King County, Washington",3893,169541000,43550,5Y20,King County Balance,,,,,317.09
427,53033031710,"Census Tract 317.10, King County, Washington",4382,159828500,36474,5Y20,King County Balance,,,,,317.1
428,53033031800,"Census Tract 318, King County, Washington",4908,280943400,57242,5Y20,King County Balance,,,,,318
429,53033031904,"Census Tract 319.04, King County, Washington",3545,176486200,49785,5Y20,King County Balance,,,,,319.04
430,53033031906,"Census Tract 319.06, King County, Washington",3640,175155900,48120,5Y20,King County Balance,,,,,319.06
431,53033031908,"Census Tract 319.08, King County, Washington",4347,167820700,38606,5Y20,King County Balance,,,,,319.08
432,53033031909,"Census Tract 319.09, King County, Washington",3191,124373300,38976,5Y20,King County Balance,,,,,319.09
433,53033031910,"Census Tract 319.10, King County, Washington",4355,173853000,39920,5Y20,King County Balance,,,,,319.1
434,53033031911,"Census Tract 319.11, King County, Washington",4583,172929500,37733,5Y20,King County Balance,,,,,319.11
435,53033031912,"Census Tract 319.12, King County, Washington",4332,174747200,40339,5Y20,King County Balance,,,,,319.12
436,53033031913,"Census Tract 319.13, King County, Washington",3682,206834300,56174,5Y20,King County Balance,,,,,319.13
437,53033032002,"Census Tract 320.02, King County, Washington",2966,136455500,46007,5Y20,King County Balance,,,,,320.02
438,53033032003,"Census Tract 320.03, King County, Washington",5528,342222000,61907,5Y20,King County Balance,,,,,320.03
439,53033032005,"Census Tract 320.05, King County, Washington",7449,313275100,42056,5Y20,King County Balance,,,,,320.05
440,53033032006,"Census Tract 320.06, King County, Washington",5505,239372000,43483,5Y20,King County Balance,,,,,320.06
441,53033032007,"Census Tract 320.07, King County, Washington",3459,164381700,47523,5Y20,King County Balance,,,,,320.07
442,53033032008,"Census Tract 320.08, King County, Washington",4722,188228500,39862,5Y20,King County Balance,,,,,320.08
443,53033032010,"Census Tract 320.10, King County, Washington",6593,320330900,48587,5Y20,King County Balance,,,,,320.1
444,53033032011,"Census Tract 320.11, King County, Washington",4280,196169900,45834,5Y20,King County Balance,,,,,320.11
445,53033032102,"Census Tract 321.02, King County, Washington",5076,311411500,61350,5Y20,King County Balance,,,,,321.02
446,53033032103,"Census Tract 321.03, King County, Washington",5202,264296000,50807,5Y20,King County Balance,,,,,321.03
447,53033032104,"Census Tract 321.04, King County, Washington",6537,339729400,51970,5Y20,King County Balance,,,,,321.04
448,53033032207,"Census Tract 322.07, King County, Washington",3895,298011900,76511,5Y20,King County Balance,,,,,322.07
449,53033032211,"Census Tract 322.11, King County, Washington",4733,308344900,65148,5Y20,King County Balance,,,,,322.11
450,53033032213,"Census Tract 322.13, King County, Washington",4572,390246900,85356,5Y20,King County Balance,,,,,322.13
451,53033032215,"Census Tract 322.15, King County, Washington",5489,412606500,75170,5Y20,King County Balance,,,,,322.15
452,53033032216,"Census Tract 322.16, King County, Washington",5103,320049300,62718,5Y20,King County Balance,,,,,322.16
453,53033032217,"Census Tract 322.17, King County, Washington",4063,361798600,89047,5Y20,King County Balance,,,,,322.17
454,53033032218,"Census Tract 322.18, King County, Washington",5922,402737400,68007,5Y20,King County Balance,,,,,322.18
455,53033032219,"Census Tract 322.19, King County, Washington",4588,373213000,81345,5Y20,King County Balance,,,,,322.19
456,53033032220,"Census Tract 322.20, King County, Washington",9067,673826400,74316,5Y20,King County Balance,,,,,322.2
457,53033032221,"Census Tract 322.21, King County, Washington",6682,499332000,74728,5Y20,King County Balance,,,,,322.21
458,53033032222,"Census Tract 322.22, King County, Washington",3974,222620100,56019,5Y20,King County Balance,,,,,322.22
459,53033032223,"Census Tract 322.23, King County, Washington",3974,316172100,79560,5Y20,King County Balance,,,,,322.23
460,53033032224,"Census Tract 322.24, King County, Washington",2631,182844200,69496,5Y20,King County Balance,,,,,322.24
461,53033032225,"Census Tract 322.25, King County, Washington",3558,259630500,72971,5Y20,King County Balance,,,,,322.25
462,53033032307,"Census Tract 323.07, King County, Washington",6282,411397300,65488,5Y20,King County Balance,,,,,323.07
463,53033032311,"Census Tract 323.11, King County, Washington",6109,433660000,70987,5Y20,King County Balance,,,,,323.11
464,53033032313,"Census Tract 323.13, King County, Washington",6535,370983000,56769,5Y20,King County Balance,,,,,323.13
465,53033032315,"Census Tract 323.15, King County, Washington",5484,440853200,80389,5Y20,King County Balance,,,,,323.15
466,53033032316,"Census Tract 323.16, King County, Washington",5487,405109700,73831,5Y20,King County Balance,,,,,323.16
467,53033032317,"Census Tract 323.17, King County, Washington",6663,486422200,73003,5Y20,King County Balance,,,,,323.17
468,53033032318,"Census Tract 323.18, King County, Washington",7100,497486000,70068,5Y20,King County Balance,,,,,323.18
469,53033032319,"Census Tract 323.19, King County, Washington",6515,315515400,48429,5Y20,King County Balance,,,,,323.19
470,53033032320,"Census Tract 323.20, King County, Washington",4960,350710900,70708,5Y20,King County Balance,,,,,323.2
471,53033032321,"Census Tract 323.21, King County, Washington",7314,565834800,77363,5Y20,King County Balance,,,,,323.21
472,53033032322,"Census Tract 323.22, King County, Washington",3166,227313200,71798,5Y20,King County Balance,,,,,323.22
473,53033032323,"Census Tract 323.23, King County, Washington",6207,462188100,74462,5Y20,King County Balance,,,,,323.23
474,53033032324,"Census Tract 323.24, King County, Washington",6465,381423300,58998,5Y20,King County Balance,,,,,323.24
475,53033032325,"Census Tract 323.25, King County, Washington",5898,316898900,53730,5Y20,King County Balance,,,,,323.25
476,53033032326,"Census Tract 323.26, King County, Washington",4011,344696600,85938,5Y20,King County Balance,,,,,323.26
477,53033032327,"Census Tract 323.27, King County, Washington",4522,396926900,87777,5Y20,King County Balance,,,,,323.27
478,53033032328,"Census Tract 323.28, King County, Washington",3288,270168600,82168,5Y20,King County Balance,,,,,323.28
479,53033032330,"Census Tract 323.30, King County, Washington",4702,347358200,73875,5Y20,King County Balance,,,,,323.3
480,53033032331,"Census Tract 323.31, King County, Washington",4373,313365200,71659,5Y20,King County Balance,,,,,323.31
481,53033032332,"Census Tract 323.32, King County, Washington",6505,444413500,68319,5Y20,King County Balance,,,,,323.32
482,53033032333,"Census Tract 323.33, King County, Washington",3215,255588100,79499,5Y20,King County Balance,,,,,323.33
483,53033032401,"Census Tract 324.01, King County, Washington",6023,353507700,58693,5Y20,King County Balance,,,,,324.01
484,53033032402,"Census Tract 324.02, King County, Washington",7222,392466100,54343,5Y20,King County Balance,,,,,324.02
485,53033032500,"Census Tract 325, King County, Washington",5700,323095400,56683,5Y20,King County Balance,,,,,325
486,53033032601,"Census Tract 326.01, King County, Washington",3054,161915200,53017,5Y20,King County Balance,,,,,326.01
487,53033032603,"Census Tract 326.03, King County, Washington",4406,287129000,65168,5Y20,King County Balance,,,,,326.03
488,53033032604,"Census Tract 326.04, King County, Washington",5529,359401300,65003,5Y20,King County Balance,,,,,326.04
489,53033032605,"Census Tract 326.05, King County, Washington",4357,237708100,54558,5Y20,King County Balance,,,,,326.05
490,53033032703,"Census Tract 327.03, King County, Washington",2123,95559700,45012,5Y20,King County Balance,,,,,327.03
491,53033032704,"Census Tract 327.04, King County, Washington",7606,396030800,52068,5Y20,King County Balance,,,,,327.04
492,53033032705,"Census Tract 327.05, King County, Washington",3451,192371100,55744,5Y20,King County Balance,,,,,327.05
493,53033032706,"Census Tract 327.06, King County, Washington",2983,141170700,47325,5Y20,King County Balance,,,,,327.06
494,53033032800,"Census Tract 328, King County, Washington",2744,144578500,52689,5Y20,King County Balance,,,,,328
892,53033000100,"Census Tract 1, King County, Washington",5784,208721900,36086,5Y10,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1
893,53033000200,"Census Tract 2, King County, Washington",7682,231982400,30198,5Y10,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2
894,53033000300,"Census Tract 3, King County, Washington",2548,81206600,31871,5Y10,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",3
895,53033000401,"Census Tract 4.01, King County, Washington",5805,139541100,24038,5Y10,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.01
896,53033000402,"Census Tract 4.02, King County, Washington",4662,132685000,28461,5Y10,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.02
897,53033000500,"Census Tract 5, King County, Washington",3474,225492900,64909,5Y10,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
898,53033000600,"Census Tract 6, King County, Washington",7235,246911600,34127,5Y10,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",6
899,53033000700,"Census Tract 7, King County, Washington",4643,140417800,30243,5Y10,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",7
900,53033000800,"Census Tract 8, King County, Washington",2986,89356700,29925,5Y10,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8
901,53033000900,"Census Tract 9, King County, Washington",2025,114954100,56767,5Y10,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",9
902,53033001000,"Census Tract 10, King County, Washington",1702,68447600,40216,5Y10,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",10
903,53033001100,"Census Tract 11, King County, Washington",2573,101791900,39562,5Y10,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",11
904,53033001200,"Census Tract 12, King County, Washington",5753,163574800,28433,5Y10,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",12
905,53033001300,"Census Tract 13, King County, Washington",4376,118893000,27169,5Y10,Seattle,9.2,9,Licton Springs,Licton Springs,13
906,53033001400,"Census Tract 14, King County, Washington",4799,173746400,36205,5Y10,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",14
907,53033001500,"Census Tract 15, King County, Washington",2463,123336200,50076,5Y10,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",15
908,53033001600,"Census Tract 16, King County, Washington",4271,204059900,47778,5Y10,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",16
909,53033001701,"Census Tract 17.01, King County, Washington",3615,125784400,34795,5Y10,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.01
910,53033001702,"Census Tract 17.02, King County, Washington",4782,130698200,27331,5Y10,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.02
911,53033001800,"Census Tract 18, King County, Washington",4219,166652500,39500,5Y10,Seattle,9.2,9,Licton Springs,Licton Springs,18
912,53033001900,"Census Tract 19, King County, Washington",3622,127988900,35337,5Y10,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",19
913,53033002000,"Census Tract 20, King County, Washington",3403,134980200,39665,5Y10,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",20
914,53033002100,"Census Tract 21, King County, Washington",3482,138531500,39785,5Y10,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",21
915,53033002200,"Census Tract 22, King County, Washington",5321,287932700,54113,5Y10,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",22
916,53033002400,"Census Tract 24, King County, Washington",2859,129074100,45147,5Y10,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",24
917,53033002500,"Census Tract 25, King County, Washington",2957,129205400,43695,5Y10,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",25
918,53033002600,"Census Tract 26, King County, Washington",4456,233786300,52466,5Y10,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",26
919,53033002700,"Census Tract 27, King County, Washington",4877,230702700,47304,5Y10,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",27
920,53033002800,"Census Tract 28, King County, Washington",4008,160303700,39996,5Y10,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",28
921,53033002900,"Census Tract 29, King County, Washington",4117,175751600,42689,5Y10,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",29
922,53033003000,"Census Tract 30, King County, Washington",5578,234466400,42034,5Y10,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",30
923,53033003100,"Census Tract 31, King County, Washington",6159,242275500,39337,5Y10,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",31
924,53033003200,"Census Tract 32, King County, Washington",7178,298689100,41612,5Y10,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32
925,53033003300,"Census Tract 33, King County, Washington",6080,251183500,41313,5Y10,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33
926,53033003400,"Census Tract 34, King County, Washington",3334,154143200,46234,5Y10,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",34
927,53033003500,"Census Tract 35, King County, Washington",3906,191347800,48988,5Y10,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",35
928,53033003600,"Census Tract 36, King County, Washington",5198,270433600,52026,5Y10,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36
929,53033003800,"Census Tract 38, King County, Washington",1966,97893300,49793,5Y10,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",38
930,53033003900,"Census Tract 39, King County, Washington",2852,118757100,41640,5Y10,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",39
931,53033004000,"Census Tract 40, King County, Washington",2903,183225300,63116,5Y10,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",40
932,53033004100,"Census Tract 41, King County, Washington",7992,566691500,70907,5Y10,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41
933,53033004200,"Census Tract 42, King County, Washington",7887,428772300,54364,5Y10,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42
934,53033004301,"Census Tract 43.01, King County, Washington",3845,159716300,41539,5Y10,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.01
935,53033004302,"Census Tract 43.02, King County, Washington",3140,33512800,10673,5Y10,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.02
936,53033004400,"Census Tract 44, King County, Washington",6387,188629500,29533,5Y10,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",44
937,53033004500,"Census Tract 45, King County, Washington",2782,109338700,39302,5Y10,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",45
938,53033004600,"Census Tract 46, King County, Washington",3079,165782900,53843,5Y10,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",46
939,53033004700,"Census Tract 47, King County, Washington",5764,237714800,41241,5Y10,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams",47
940,53033004800,"Census Tract 48, King County, Washington",4597,203914000,44358,5Y10,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",48
941,53033004900,"Census Tract 49, King County, Washington",5736,263797700,45990,5Y10,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",49
942,53033005000,"Census Tract 50, King County, Washington",4313,165650900,38407,5Y10,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",50
943,53033005100,"Census Tract 51, King County, Washington",3437,185014900,53830,5Y10,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",51
944,53033005200,"Census Tract 52, King County, Washington",6347,173895200,27398,5Y10,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",52
945,53033005301,"Census Tract 53.01, King County, Washington",7011,91709800,13081,5Y10,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.01
946,53033005302,"Census Tract 53.02, King County, Washington",5392,25479200,4725,5Y10,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.02
947,53033005400,"Census Tract 54, King County, Washington",4238,186687200,44051,5Y10,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",54
948,53033005600,"Census Tract 56, King County, Washington",6430,497185700,77323,5Y10,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",56
949,53033005700,"Census Tract 57, King County, Washington",6388,310425600,48595,5Y10,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",57
950,53033005801,"Census Tract 58.01, King County, Washington",4946,203700000,41185,5Y10,Seattle,12.2,12,Interbay,Interbay,58.01
951,53033005802,"Census Tract 58.02, King County, Washington",4411,256293500,58103,5Y10,Seattle,12.2,12,Interbay,Interbay,58.02
952,53033005900,"Census Tract 59, King County, Washington",7188,281314500,39137,5Y10,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59
953,53033006000,"Census Tract 60, King County, Washington",4750,240798000,50694,5Y10,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",60
954,53033006100,"Census Tract 61, King County, Washington",4794,293320100,61185,5Y10,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",61
955,53033006200,"Census Tract 62, King County, Washington",4195,301090500,71774,5Y10,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",62
956,53033006300,"Census Tract 63, King County, Washington",5190,449770400,86661,5Y10,Seattle,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",63
957,53033006400,"Census Tract 64, King County, Washington",3322,206484300,62157,5Y10,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",64
958,53033006500,"Census Tract 65, King County, Washington",3798,246745700,64967,5Y10,Seattle,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",65
959,53033006600,"Census Tract 66, King County, Washington",3070,210242600,68483,5Y10,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",66
960,53033006700,"Census Tract 67, King County, Washington",6328,358404600,56638,5Y10,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67
961,53033006800,"Census Tract 68, King County, Washington",2652,136955800,51642,5Y10,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",68
962,53033006900,"Census Tract 69, King County, Washington",3965,276650600,69773,5Y10,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",69
963,53033007000,"Census Tract 70, King County, Washington",6993,341415000,48822,5Y10,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",70
964,53033007100,"Census Tract 71, King County, Washington",2521,143686700,56996,5Y10,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",71
965,53033007200,"Census Tract 72, King County, Washington",3867,180518100,46682,5Y10,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72
966,53033007300,"Census Tract 73, King County, Washington",3463,149731200,43237,5Y10,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73
967,53033007401,"Census Tract 74.01, King County, Washington",3823,179316600,46905,5Y10,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.01
968,53033007402,"Census Tract 74.02, King County, Washington",5161,182923500,35443,5Y10,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.02
969,53033007500,"Census Tract 75, King County, Washington",5947,244576500,41126,5Y10,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",75
970,53033007600,"Census Tract 76, King County, Washington",3608,143645100,39813,5Y10,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",76
971,53033007700,"Census Tract 77, King County, Washington",3947,173558800,43972,5Y10,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",77
972,53033007800,"Census Tract 78, King County, Washington",5263,407282200,77386,5Y10,Seattle,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",78
973,53033007900,"Census Tract 79, King County, Washington",4997,178713700,35764,5Y10,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",79
974,53033008001,"Census Tract 80.01, King County, Washington",5003,342956200,68550,5Y10,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.01
975,53033008002,"Census Tract 80.02, King County, Washington",2731,201798900,73892,5Y10,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.02
976,53033008100,"Census Tract 81, King County, Washington",4399,277504800,63084,5Y10,Seattle,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",81
977,53033008200,"Census Tract 82, King County, Washington",2844,136615300,48036,5Y10,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",82
978,53033008300,"Census Tract 83, King County, Washington",2397,126755300,52881,5Y10,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",83
979,53033008400,"Census Tract 84, King County, Washington",4035,175731600,43552,5Y10,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",84
980,53033008500,"Census Tract 85, King County, Washington",3890,60238800,15486,5Y10,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",85
981,53033008600,"Census Tract 86, King County, Washington",5371,78095300,14540,5Y10,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",86
982,53033008700,"Census Tract 87, King County, Washington",4058,127347500,31382,5Y10,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",87
983,53033008800,"Census Tract 88, King County, Washington",3393,114717500,33810,5Y10,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",88
984,53033008900,"Census Tract 89, King County, Washington",5312,246296200,46366,5Y10,Seattle,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",89
985,53033009000,"Census Tract 90, King County, Washington",2327,54636200,23479,5Y10,Seattle,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",90
986,53033009100,"Census Tract 91, King County, Washington",2319,47380600,20431,5Y10,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",91
987,53033009200,"Census Tract 92, King County, Washington",2187,52682200,24089,5Y10,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",92
988,53033009300,"Census Tract 93, King County, Washington",2007,74782200,37261,5Y10,Seattle,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",93
989,53033009400,"Census Tract 94, King County, Washington",5458,127306900,23325,5Y10,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",94
